epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.276,0,102.261,0,0,0,0,0,0,170.336,0,0.00062,0.00062,0.00062
2,293.51,0,73.2624,0,0,0,0,0,0,129.184,0,0.00123505,0.00123505,0.00123505
3,438.313,0,59.6342,0,0,0,0,0,0,41413.1,0,0.00182476,0.00182476,0.00182476
4,585.161,0,47.7696,0,0,0,0,0,0,694.897,0,0.0018812,0.0018812,0.0018812
5,729.857,0,37.9671,0,0,0,0,0,0,46.0198,0,0.0018416,0.0018416,0.0018416
6,873.393,0,29.0337,0,0,0,0,0,0,123.774,0,0.001802,0.001802,0.001802
7,1021.62,0,21.3019,0,0,0,0,0,0,4067.06,0,0.0017624,0.0017624,0.0017624
8,1166.6,0,14.9452,0,0,0,0,0,0,461.42,0,0.0017228,0.0017228,0.0017228
9,1310.15,0,10.4518,0,0,0,0,0,0,14.8399,0,0.0016832,0.0016832,0.0016832
10,1453.55,0,7.03025,0,0,0,0,0,0,9.36911,0,0.0016436,0.0016436,0.0016436
11,1596.31,0,4.60922,0,0,0,0,0,0,37.1382,0,0.001604,0.001604,0.001604
12,1739.45,0,2.99651,0,0,0,0,0,0,970.453,0,0.0015644,0.0015644,0.0015644
13,1882.52,0,1.91865,0,0,0,0,0,0,2397.94,0,0.0015248,0.0015248,0.0015248
14,2025.7,0,1.21542,0,0,0,0,0,0,14.5416,0,0.0014852,0.0014852,0.0014852
15,2168.51,0,0.76349,0,0,0,0,0,0,1.10611,0,0.0014456,0.0014456,0.0014456
16,2311.96,0,0.48262,0,0,0,0,0,0,0.64406,0,0.001406,0.001406,0.001406
17,2438.59,0,0.30772,0,0,0,0,0,0,0.41893,0,0.0013664,0.0013664,0.0013664
18,2558.87,0,0.18816,0,0,0,0,0,0,0.23578,0,0.0013268,0.0013268,0.0013268
19,2679.59,0,0.12975,0,0,0,0,0,0,0.42199,0,0.0012872,0.0012872,0.0012872
20,2799.27,0,0.0839,0,0,0,0,0,0,0.05511,0,0.0012476,0.0012476,0.0012476
21,2920.28,0,0.03204,0,0,0,0,0,0,6.67369,0,0.001208,0.001208,0.001208
22,3038.38,0,0.0241,0,0,0,0,0,0,74.8031,0,0.0011684,0.0011684,0.0011684
23,3157.61,0,0.01893,0,0,0,0,0,0,61.2314,0,0.0011288,0.0011288,0.0011288
24,3275.92,0,0.01014,0,0,0,0,0,0,58.7294,0,0.0010892,0.0010892,0.0010892
25,3393.83,0,0.00602,0,0,0,0,0,0,169.153,0,0.0010496,0.0010496,0.0010496
26,3515.51,0,0.00533,0,0,0,0,0,0,139.905,0,0.00101,0.00101,0.00101
27,3634.93,0,0.00435,0,0,0,0,0,0,60.9309,0,0.0009704,0.0009704,0.0009704
28,3754.38,0,0.00348,0,0,0,0,0,0,4.21466,0,0.0009308,0.0009308,0.0009308
29,3873.28,0,0.00305,0,0,0,0,0,0,19.7615,0,0.0008912,0.0008912,0.0008912
30,3993.33,0,0.00299,0,0,0,0,0,0,45.0171,0,0.0008516,0.0008516,0.0008516
31,4113,0,0.00299,0,0,0,0,0,0,29.443,0,0.000812,0.000812,0.000812
32,4233.39,0,0.003,0,0,0,0,0,0,57.6265,0,0.0007724,0.0007724,0.0007724
33,4353.42,0,0.00298,0,0,0,0,0,0,291.454,0,0.0007328,0.0007328,0.0007328
34,4474.19,0,0.00298,0,0,0,0,0,0,343.45,0,0.0006932,0.0006932,0.0006932
35,4593.45,0,0.00298,0,0,0,0,0,0,649.596,0,0.0006536,0.0006536,0.0006536
36,4712.77,0,0.00298,0,0,0,0,0,0,1508.4,0,0.000614,0.000614,0.000614
37,4832.93,0,0.00298,0,0,0,0,0,0,726.707,0,0.0005744,0.0005744,0.0005744
38,4952.56,0,0.00298,0,0,0,0,0,0,696.325,0,0.0005348,0.0005348,0.0005348
39,5070.78,0,0.00298,0,0,0,0,0,0,683.439,0,0.0004952,0.0004952,0.0004952
40,5189.46,0,0.00298,0,0,0,0,0,0,476.779,0,0.0004556,0.0004556,0.0004556
41,5307.23,0,0.00292,0,0,0,0,0,0,456.203,0,0.000416,0.000416,0.000416
42,5427.54,0,0.00295,0,0,0,0,0,0,1324.64,0,0.0003764,0.0003764,0.0003764
43,5547.32,0,0.00294,0,0,0,0,0,0,1763.16,0,0.0003368,0.0003368,0.0003368
44,5666.69,0,0.00294,0,0,0,0,0,0,2277.62,0,0.0002972,0.0002972,0.0002972
45,5785.21,0,0.00288,0,0,0,0,0,0,2866.6,0,0.0002576,0.0002576,0.0002576
46,5904.32,0,0.00295,0,0,0,0,0,0,4019.17,0,0.000218,0.000218,0.000218
47,6023.46,0,0.00291,0,0,0,0,0,0,1857.11,0,0.0001784,0.0001784,0.0001784
48,6142.43,0,0.00289,0,0,0,0,0,0,1568.2,0,0.0001388,0.0001388,0.0001388
49,6260.51,0,0.00289,0,0,0,0,0,0,764.953,0,9.92e-05,9.92e-05,9.92e-05
50,6378.17,0,0.00286,0,0,0,0,0,0,641.967,0,5.96e-05,5.96e-05,5.96e-05
